Kellogg's Fruit & Nut Bars Cranberry Raisin Peanut Grab 'N Go	96.92118937
Kellogg's Nutri-Grain Bars Blueberry	19.24514031
Kellogg's Nutri-Grain Bars Raspberry	35.95681711
KEmerald Nuts Deluxe Mixed Nuts	88.20215742
Emerald Nuts Dry Roasted Almonds	84.41201316
Endangered Species Dolphin Bar Milk Chocolate With Cherries	3.003759196
Endangered Milk Chocolate	48.20800978
Endangered Species Gorilla Bar Milk Chocolate With Pecan Praline	41.20800978
Endangered Species Gorilla Bar Milk Chocolate With Pecan Praline	41.20800978
Endangered Species Gorilla Bar Milk Chocolate With Pecan Praline	41.20800978
Endangered Species Gorilla Bar Milk Chocolate With Pecan Praline	41.20800978
Endangered Species Gorilla Bar Milk Chocolate With Pecan Praline	41.20800978
Endangered Species Gorilla Bar Milk Chocolate With Pecan Praline	41.20800978
Emerald Nuts Cocktail Peanuts	52.4543414
Emerald Nuts Cocktail Peanuts	65.45699734
